Date,Open,High,Low,Close,Adj Close ,Volume
14-Nov-25,665.38,675.66,663.27,671.93,671.93,"96,733,700"
13-Nov-25,680.5,680.86,670.52,672.04,672.04,"103,457,800"
12-Nov-25,684.79,684.96,680.95,683.38,683.38,"62,312,500"
11-Nov-25,679.95,683.57,678.73,683,683,"58,953,400"
10-Nov-25,677.24,682.18,675.03,681.44,681.44,"75,842,900"
7-Nov-25,667.91,671.08,661.21,670.97,670.97,"100,592,400"
6-Nov-25,676.47,677.38,668.72,670.31,670.31,"85,035,300"
5-Nov-25,674.98,680.86,674.17,677.58,677.58,"74,402,400"
4-Nov-25,676.11,679.96,674.58,675.24,675.24,"78,427,000"
3-Nov-25,685.67,685.8,679.94,683.34,683.34,"57,315,000"
31-Oct-25,685.04,685.08,679.24,682.06,682.06,"87,164,100"
30-Oct-25,683.9,685.94,679.83,679.83,679.83,"76,335,800"
29-Oct-25,688.72,689.7,682.87,687.39,687.39,"85,657,100"
28-Oct-25,687.05,688.91,684.83,687.06,687.06,"61,738,100"
27-Oct-25,682.73,685.54,682.12,685.24,685.24,"63,339,800"
24-Oct-25,676.46,678.47,675.65,677.25,677.25,"74,356,500"
23-Oct-25,668.12,672.71,667.8,671.76,671.76,"65,604,500"
22-Oct-25,672,672,663.3,667.8,667.8,"80,564,000"
21-Oct-25,671.44,672.99,669.98,671.29,671.29,"56,249,000"
20-Oct-25,667.32,672.21,667.27,671.3,671.3,"60,493,400"
17-Oct-25,659.5,665.76,658.14,664.39,664.39,"96,500,900"
16-Oct-25,666.82,668.71,657.11,660.64,660.64,"110,563,300"
15-Oct-25,666.82,670.23,658.93,665.17,665.17,"81,702,600"
14-Oct-25,657.17,665.83,653.17,662.23,662.23,"88,779,600"
13-Oct-25,660.65,665.13,659.77,663.04,663.04,"79,560,500"
10-Oct-25,672.13,673.95,652.84,653.02,653.02,"159,422,600"
9-Oct-25,673.53,673.94,669.21,671.16,671.16,"66,501,900"
8-Oct-25,670.25,673.21,669.42,673.11,673.11,"60,702,200"
7-Oct-25,672.54,672.99,667.67,669.12,669.12,"72,020,100"
6-Oct-25,671.62,672.51,669.46,671.61,671.61,"54,623,300"
3-Oct-25,669.99,672.68,668.16,669.21,669.21,"70,494,400"
