Date,Open,High,Low,Close,Adj Close,Volume
12/12/25,49.87,49.88,47.13,47.84,47.84,"1,353,211"
11/12/25,48.03,49.41,47.33,49.24,49.24,"1,931,900"
10/12/25,47.32,49.28,47.16,48.78,48.78,"1,254,900"
9/12/25,47.47,48.4,47.32,47.47,47.47,"646,000"
8/12/25,47.85,48.12,47.11,47.59,47.59,"319,200"
5/12/25,48,48.27,47.54,47.69,47.69,"312,400"
4/12/25,47.31,48.21,47.19,48.04,48.04,"434,300"
3/12/25,47.8,47.8,46.72,47.38,47.38,"351,400"
2/12/25,48.27,48.27,47.21,47.63,47.63,"241,100"
1/12/25,48.45,48.45,47.57,47.64,47.64,"470,800"
28/11/25,48.61,49.03,48.22,48.91,48.91,"573,800"
26/11/25,47.32,48.17,46.92,47.9,47.9,"718,900"
25/11/25,46.38,47.31,45.51,47.08,47.08,"385,500"
24/11/25,45.75,46.75,45.52,46.46,46.46,"441,000"
21/11/25,45.2,46.33,44.45,45.94,45.94,"1,332,400"
20/11/25,48.36,48.68,45.59,45.66,45.66,"1,381,000"
19/11/25,47.84,48.58,47.5,47.62,47.62,"524,100"
18/11/25,47.81,49.01,47.26,48.22,48.22,"1,143,600"
17/11/25,49.27,49.73,48.39,48.76,48.76,"1,206,500"
14/11/25,47.09,49.95,46.87,49.51,49.51,"1,736,500"
13/11/25,50.54,50.67,48.24,48.48,48.48,"829,800"
12/11/25,51.96,52.08,50.06,50.57,50.57,"1,074,400"
11/11/25,52.19,52.42,51.17,51.85,51.85,"902,441"
10/11/25,51.96,53.68,51.55,52.86,52.86,"2,155,200"
7/11/25,49.69,50.47,48.35,50.39,50.39,"1,790,600"
6/11/25,51.6,51.79,50.03,50.24,50.24,"1,282,800"
5/11/25,48.57,51.73,48.33,51.28,51.28,"1,999,200"
4/11/25,47.66,48.69,47.25,47.93,47.93,"666,000"
3/11/25,49.95,49.95,48.97,49.14,49.14,"950,100"
31/10/25,48.02,49.33,48.02,49.12,49.12,"684,300"
30/10/25,48.53,48.53,47.71,47.73,47.73,"314,400"
29/10/25,48.52,49.82,48.34,48.6,48.6,"980,000"
28/10/25,49.34,49.34,48.28,48.45,48.45,"560,400"
27/10/25,49.15,49.16,48.37,48.91,48.91,"807,600"
24/10/25,47.95,48.62,47.81,48.1,48.1,"583,800"
23/10/25,45.86,46.76,45.67,46.53,46.53,"254,400"
22/10/25,46.41,46.66,45.03,45.95,45.95,"670,400"
21/10/25,47.7,47.7,46.48,46.81,46.81,"385,800"
20/10/25,47.01,47.53,46.92,47.24,47.24,"562,900"
17/10/25,46.96,47.31,46.28,46.56,46.56,"1,277,900"
