date,close,volume,return,sentiment_score,article_count,sentiment_label,signal,position,strategy_return,cumulative_return,cumulative_strategy
2025-10-17,664.39,96500900,0.5676313877452266,0.3767071058609655,7,positive,BUY,1,0.5676313877452266,0.005676313877452266,0.005676313877452266
2025-10-20,671.3,60493400,1.0400517768178297,0.1856976546474026,33,positive,BUY,1,1.0400517768178297,0.01613586824897073,0.01613586824897073
2025-10-21,671.29,56249000,-0.0014896469536673,0.2015602170790897,45,positive,BUY,1,-0.0014896469536673,0.01612073141196424,0.01612073141196424
2025-10-22,667.8,80564000,-0.5198945314245695,0.0933159123578626,36,positive,BUY,1,-0.5198945314245695,0.010837975296682067,0.010837975296682067
2025-10-23,671.76,65604500,0.5929919137466433,0.0538376442118293,44,positive,BUY,1,0.5929919137466433,0.01683216275127175,0.01683216275127175
2025-10-24,677.25,74356500,0.8172561629153252,0.0751888277052342,40,positive,BUY,1,0.8172561629153252,0.025142286267861635,0.025142286267861635
2025-10-27,685.24,63339800,1.1797711332595109,0.1897732273637751,30,positive,BUY,1,1.1797711332595109,0.03723661903608644,0.03723661903608644
2025-10-28,687.06,61738100,0.2656003735917345,-0.0206188004224664,27,neutral,HOLD,1,0.2656003735917345,0.03999152337127665,0.03999152337127665
2025-10-29,687.39,85657100,0.0480307396733881,0.0904501289407844,23,positive,BUY,1,0.0480307396733881,0.0404910389924924,0.0404910389924924
2025-10-30,679.83,76335800,-1.0998123336097287,0.0304114124341734,21,neutral,HOLD,1,-1.0998123336097287,0.029047590215548924,0.029047590215548924
2025-10-31,682.06,87164100,0.3280231822661461,0.1071746664008001,15,positive,BUY,1,0.3280231822661461,0.032423104868007036,0.032423104868007036
2025-11-03,683.34,57315000,0.187666774184092,0.1063963504499196,5,positive,BUY,1,0.187666774184092,0.03436062000484408,0.03436062000484408
2025-11-04,675.24,78427000,-1.185354289226448,-0.1711835189680755,15,negative,SELL,0,-0.0,0.022099782029547432,0.03436062000484408
2025-11-05,677.58,74402400,0.3465434512173404,0.0529047449236735,16,positive,BUY,1,0.3465434512173404,0.02564180188907761,0.037945128995442
2025-11-06,670.31,85035300,-1.0729360370731245,0.069824090961854,26,positive,BUY,1,-1.0729360370731245,0.014637321385323476,0.02680864166140484
2025-11-07,670.97,100592400,0.0984619056854319,-0.1832341441972038,26,negative,SELL,0,0.0,0.01563635262775498,0.02680864166140484
2025-11-10,681.44,75842900,1.5604274408691945,0.4703608168314397,10,positive,BUY,1,1.5604274408691945,0.031484620973601496,0.04283124547110573
2025-11-11,683.0,58953400,0.2289269781638792,0.0585099874546422,17,positive,BUY,1,0.2289269781638792,0.033845967546621614,0.04521856752871156
2025-11-12,683.38,62312500,0.0556368960468622,0.1929327982241118,22,positive,BUY,1,0.0556368960468622,0.03442116735287026,0.045800094696589966
2025-11-13,672.04,103457800,-1.6593988703210605,-0.065520633192999,14,negative,SELL,0,-0.0,0.017255994187454826,0.045800094696589966
2025-11-14,671.93,96733700,-0.016368073328965,-0.0167745297067932,14,neutral,HOLD,0,-0.0,0.017089488980382983,0.045800094696589966
2025-11-17,665.67,90456100,-0.9316446653669264,0.1003018833266899,17,positive,BUY,1,-0.9316446653669264,0.00761382901428953,0.03605695390394703
2025-11-18,660.08,114467500,-0.8397554343743785,-0.047360559263985,28,neutral,HOLD,1,-0.8397554343743785,-0.0008476628723657065,0.02735660933032502
2025-11-19,662.63,94703000,0.3863168100836089,0.1509938591942191,11,positive,BUY,1,0.3863168100836089,0.0030122305643016656,0.03132546061167307
2025-11-20,652.53,165293500,-1.5242292078535558,0.2481802426982083,19,positive,BUY,1,-1.5242292078535558,-0.012275974812302914,0.015605696712999828
2025-11-21,659.03,123956200,0.996122783626796,0.0160672776987885,17,neutral,HOLD,1,0.996122783626796,-0.002437030758052572,0.0257223764497696
2025-11-24,668.73,80437900,1.47186015811116,0.3552386144038736,25,positive,BUY,1,1.47186015811116,0.012245701138290377,0.04081957544156478
2025-11-25,675.02,81077100,0.9405888774243644,0.145132416520603,20,positive,BUY,1,0.9405888774243644,0.021766771615403302,0.05060940860222374
2025-11-26,679.68,71879600,0.6903499155580528,0.1527778121740039,18,positive,BUY,1,0.6903499155580528,0.02882053766045045,0.05786228976735419
2025-11-28,683.39,49212000,0.5458451035781575,0.0075171011793944,18,neutral,HOLD,1,0.5458451035781575,0.03443630418987653,0.06363657927864907
2025-12-01,680.27,61201200,-0.4565475058165957,-0.0058802304066717,20,neutral,HOLD,1,-0.4565475058165957,0.029713611043836297,0.0587805730049995
2025-12-02,681.53,62953800,0.1852205741837753,0.0073538458584674,14,neutral,HOLD,1,0.1852205741837753,0.031620852506660135,0.06074165246166574
2025-12-03,683.89,57238500,0.3462796942174329,0.087062464817384,26,positive,BUY,1,0.3462796942174329,0.035193146040203516,0.06441478541224699
2025-12-04,684.39,61970300,0.0731111728494271,0.1225085783368065,21,positive,BUY,1,0.0731111728494271,0.0359499878905305,0.06519299154584468
2025-12-05,685.69,79241000,0.1899501746080556,0.0327396501405083,23,neutral,HOLD,1,0.1899501746080556,0.037917776701380745,0.06721632749319872
2025-12-08,683.63,55231500,-0.3004273068004548,0.0746054154491599,17,positive,BUY,1,-0.3004273068004548,0.034799588278033644,0.06401011822277614
2025-12-09,683.04,58310100,-0.0863039948510224,0.0260230906180209,9,neutral,HOLD,1,-0.0863039948510224,0.0339065148946478,0.06309183498513082
2025-12-10,687.57,85671300,0.6632115249473047,0.0803522614747285,18,positive,BUY,1,0.6632115249473047,0.040763502058610124,0.07014238255552607
2025-12-11,689.17,86173700,0.2327035792719201,0.1826309546346465,21,positive,BUY,1,0.2327035792719201,0.043185395979656205,0.07263264218303855
2025-12-12,681.76,110875537,-1.0752064077078185,0.1576904979802854,20,positive,BUY,1,-1.0752064077078185,0.03196899975781076,0.061099627283120794
