date,close,volume,return,sentiment_score,article_count,sentiment_label,signal,position,strategy_return,cumulative_return,cumulative_strategy
2026-01-09,50.3,486900,-0.1984126984126977,0.0265457915375008,8,neutral,HOLD,0,-0.0,-0.001984126984126977,0.0
2026-01-12,52.14,1134100,3.6580516898608417,0.0632696408884543,33,positive,BUY,1,3.6580516898608417,0.03452380952380962,0.03658051689860842
2026-01-13,52.19,799300,0.0958956655159104,0.0503586465627699,60,positive,BUY,1,0.0958956655159104,0.03551587301587311,0.037574552683896645
2026-01-14,51.49,711400,-1.3412531136232864,0.0779812901188165,39,positive,BUY,1,-1.3412531136232864,0.021626984126984272,0.023658051689861015
2026-01-15,51.97,533200,0.9322198485142597,0.0367322795362699,21,neutral,HOLD,1,0.9322198485142597,0.03115079365079354,0.03320079522862818
2026-01-16,51.88,820600,-0.1731768327881355,-0.0010544862280733,28,neutral,HOLD,1,-0.1731768327881355,0.029365079365079483,0.0314115308151095
2026-01-20,51.49,924300,-0.7517347725520485,0.1877729406365227,27,positive,BUY,1,-0.7517347725520485,0.021626984126984272,0.023658051689861015
2026-01-21,52.25,803400,1.4760147601476037,0.1140644737950976,31,positive,BUY,1,1.4760147601476037,0.0367063492063493,0.03876739562624265
2026-01-22,54.02,2464300,3.3875598086124503,0.0973771792572832,31,positive,BUY,1,3.3875598086124503,0.07182539682539701,0.0739562624254475
2026-01-23,55.23,2458600,2.239911144020712,0.1081912370973266,20,positive,BUY,1,2.239911144020712,0.09583333333333321,0.09801192842942341
2026-01-26,55.11,1841200,-0.2172732210754979,0.1548519561571919,23,positive,BUY,1,-0.2172732210754979,0.09345238095238084,0.09562624254473162
2026-01-27,56.06,1192200,1.7238250771185015,0.1194258288049562,22,positive,BUY,1,1.7238250771185015,0.11230158730158735,0.11451292246520883
2026-01-28,57.36,2526200,2.318943988583655,0.1500352148264274,20,positive,BUY,1,2.318943988583655,0.13809523809523805,0.14035785288270386
2026-01-29,55.75,2598200,-2.8068340306834028,0.1653623412828064,27,positive,BUY,1,-2.8068340306834028,0.10615079365079372,0.10834990059642147
2026-01-30,53.85,1337400,-3.408071748878916,0.0917990048033923,29,positive,BUY,1,-3.408071748878916,0.06845238095238115,0.07057654075546727
2026-02-02,53.69,1072300,-0.2971216341689953,0.109032484862705,15,positive,BUY,1,-0.2971216341689953,0.06527777777777799,0.0673956262425448
2026-02-03,55.59,1189500,3.5388340473086366,0.0553887888511473,11,positive,BUY,1,3.5388340473086366,0.10297619047619078,0.10516898608349923
2026-02-04,58.1,3546000,4.515200575643097,0.1605437168217729,24,positive,BUY,1,4.515200575643097,0.15277777777777812,0.15506958250497038
2026-02-05,55.83,1136600,-3.9070567986230658,0.0172334338418354,19,neutral,HOLD,1,-3.9070567986230658,0.10773809523809552,0.10994035785288281
2026-02-06,57.74,1021400,3.421099767150282,0.1320033409970371,19,positive,BUY,1,3.421099767150282,0.145634920634921,0.1479125248508948
2026-02-09,58.72,1191100,1.697263595427767,0.1855112034374847,28,positive,BUY,1,1.697263595427767,0.16507936507936538,0.16739562624254467
2026-02-10,58.59,1243300,-0.2213896457765596,0.2222705006008222,20,positive,BUY,1,-0.2213896457765596,0.1625000000000003,0.16481113320079532
2026-02-11,58.38,1156600,-0.3584229390681037,0.1296831745004514,32,positive,BUY,1,-0.3584229390681037,0.15833333333333366,0.16063618290258463
2026-02-12,56.86,1168700,-2.6036313806098055,0.0062228814111091,16,neutral,HOLD,1,-2.6036313806098055,0.12817460317460339,0.13041749502982114
2026-02-13,57.92,1050200,1.8642279282448104,0.0923761756556108,8,positive,BUY,1,1.8642279282448104,0.14920634920634934,0.15149105367793236
2026-02-17,59.87,1050400,3.3667127071823177,0.1949635987600932,12,positive,BUY,1,3.3667127071823177,0.1878968253968254,0.1902584493041748
2026-02-18,60.43,1223700,0.9353599465508732,0.117169488055321,12,positive,BUY,1,0.9353599465508732,0.1990079365079367,0.20139165009940352
2026-02-19,58.52,865900,-3.1606817805725607,0.1092557206683392,14,positive,BUY,1,-3.1606817805725607,0.16111111111111143,0.16341948310139154
2026-02-20,59.77,681100,2.136021872863969,0.1279114891376059,13,positive,BUY,1,2.136021872863969,0.18591269841269864,0.18827037773359812
2026-02-23,60.09,1125000,0.535385644972397,0.1883108657701975,18,positive,BUY,1,0.535385644972397,0.19226190476190497,0.19463220675944304
2026-02-24,60.53,3343200,0.7322349808620343,0.2190337382565296,21,positive,BUY,1,0.7322349808620343,0.20099206349206367,0.20337972166997975
2026-02-25,59.31,1295500,-2.0155294895093268,-0.0153555622352494,18,neutral,HOLD,1,-2.0155294895093268,0.17678571428571455,0.17912524850894607
2026-02-26,57.58,2427400,-2.9168774237059547,0.0988650739178399,22,positive,BUY,1,-2.9168774237059547,0.14246031746031762,0.14473161033797188
2026-02-27,55.0,3458300,-4.480722473080922,0.0665968015884575,23,positive,BUY,1,-4.480722473080922,0.09126984126984161,0.09343936381709717
